GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-binarystore,com.namics.oss.java.binarystore,BinaryService,9,0,0,0,3,0,1,0,1,0
java-binarystore,com.namics.oss.java.binarystore.filesystem,BinaryServiceFilesystemImpl,429,0,32,0,79,0,36,0,20,0
java-binarystore,com.namics.oss.java.binarystore.filesystem,BinaryServiceFilesystemImpl.new SimpleFileVisitor() {...},28,0,4,0,6,0,4,0,2,0
java-binarystore,com.namics.oss.java.binarystore.filesystem,BinaryFilesystemImpl,95,0,14,0,19,0,14,0,7,0
